label,area,,,,area
,,0,0,0,
474,0.05150543,8.003943844,0.004241984,0.424198418,0.05150543
,,0,0,0,
481,0.05150543,8.055449275,0.004269281,0.426928137,0.05150543
,,0,0,0,
500,0.05150543,8.106954705,0.004296579,0.429657857,0.05150543
,,0,0,0,
503,0.05150543,8.158460135,0.004323876,0.432387577,0.05150543
,,0,0,0,
522,0.05150543,8.209965565,0.004351173,0.435117296,0.05150543
,,0,0,0,
597,0.05150543,8.261470995,0.00437847,0.437847016,0.05150543
,,0,0,0,
626,0.05150543,8.312976425,0.004405767,0.440576735,0.05150543
,,0,0,0,
657,0.05150543,8.364481855,0.004433065,0.443306455,0.05150543
,,0,0,0,
663,0.05150543,8.415987286,0.004460362,0.446036174,0.05150543
,,0,0,0,
667,0.05150543,8.467492716,0.004487659,0.448765894,0.05150543
,,0,0,0,
668,0.05150543,8.518998146,0.004514956,0.451495613,0.05150543
,,0,0,0,
682,0.05150543,8.570503576,0.004542253,0.454225333,0.05150543
,,0,0,0,
719,0.05150543,8.622009006,0.004569551,0.456955052,0.05150543
,,0,0,0,
721,0.05150543,8.673514436,0.004596848,0.459684772,0.05150543
,,0,0,0,
856,0.05150543,8.725019866,0.004624145,0.462414492,0.05150543
,,0,0,0,
881,0.05150543,8.776525297,0.004651442,0.465144211,0.05150543
,,0,0,0,
887,0.05150543,8.828030727,0.004678739,0.467873931,0.05150543
,,0,0,0,
911,0.05150543,8.879536157,0.004706037,0.47060365,0.05150543
,,0,0,0,
915,0.05150543,8.931041587,0.004733334,0.47333337,0.05150543
,,0,0,0,
926,0.05150543,8.982547017,0.004760631,0.476063089,0.05150543
,,0,0,0,
5,0.061806516,9.044353533,0.004793388,0.479338753,0.061806516
,,0,0,0,
32,0.061806516,9.106160049,0.004826144,0.482614416,0.061806516
,,0,0,0,
46,0.061806516,9.167966566,0.004858901,0.48589008,0.061806516
,,0,0,0,
48,0.061806516,9.229773082,0.004891657,0.489165743,0.061806516
,,0,0,0,
78,0.061806516,9.291579598,0.004924414,0.492441407,0.061806516
,,0,0,0,
245,0.061806516,9.353386114,0.004957171,0.49571707,0.061806516
,,0,0,0,
