label,area,,,,area
84,0.172247485,17.74149097,0.002856707,0.285670702,0.172247485
,,0,0,0,
90,0.172247485,17.91373846,0.002884442,0.288444204,0.172247485
,,0,0,0,
95,0.172247485,18.08598594,0.002912177,0.291217706,0.172247485
,,0,0,0,
101,0.172247485,18.25823343,0.002939912,0.293991208,0.172247485
,,0,0,0,
102,0.172247485,18.43048091,0.002967647,0.29676471,0.172247485
,,0,0,0,
197,0.172247485,18.6027284,0.002995382,0.299538212,0.172247485
,,0,0,0,
211,0.172247485,18.77497589,0.003023117,0.302311714,0.172247485
,,0,0,0,
218,0.172247485,18.94722337,0.003050852,0.305085216,0.172247485
,,0,0,0,
236,0.172247485,19.11947086,0.003078587,0.307858718,0.172247485
,,0,0,0,
243,0.172247485,19.29171834,0.003106322,0.31063222,0.172247485
,,0,0,0,
244,0.172247485,19.46396583,0.003134057,0.313405722,0.172247485
,,0,0,0,
261,0.172247485,19.63621331,0.003161792,0.316179224,0.172247485
,,0,0,0,
265,0.172247485,19.8084608,0.003189527,0.318952726,0.172247485
,,0,0,0,
294,0.172247485,19.98070828,0.003217262,0.321726228,0.172247485
,,0,0,0,
295,0.172247485,20.15295577,0.003244997,0.32449973,0.172247485
,,0,0,0,
296,0.172247485,20.32520325,0.003272732,0.327273232,0.172247485
,,0,0,0,
299,0.172247485,20.49745074,0.003300467,0.330046734,0.172247485
,,0,0,0,
320,0.172247485,20.66969822,0.003328202,0.332820235,0.172247485
,,0,0,0,
331,0.172247485,20.84194571,0.003355937,0.335593737,0.172247485
,,0,0,0,
388,0.172247485,21.01419319,0.003383672,0.338367239,0.172247485
,,0,0,0,
407,0.172247485,21.18644068,0.003411407,0.341140741,0.172247485
,,0,0,0,
423,0.172247485,21.35868816,0.003439142,0.343914243,0.172247485
,,0,0,0,
432,0.172247485,21.53093565,0.003466877,0.346687745,0.172247485
,,0,0,0,
451,0.172247485,21.70318313,0.003494612,0.349461247,0.172247485
,,0,0,0,
454,0.172247485,21.87543062,0.003522347,0.352234749,0.172247485
,,0,0,0,
455,0.172247485,22.0476781,0.003550083,0.355008251,0.172247485
,,0,0,0,
466,0.172247485,22.21992559,0.003577818,0.357781753,0.172247485
,,0,0,0,
471,0.172247485,22.39217307,0.003605553,0.360555255,0.172247485
,,0,0,0,
489,0.172247485,22.56442056,0.003633288,0.363328757,0.172247485
,,0,0,0,
496,0.172247485,22.73666804,0.003661023,0.366102259,0.172247485
,,0,0,0,
509,0.172247485,22.90891553,0.003688758,0.368875761,0.172247485
,,0,0,0,
526,0.172247485,23.08116302,0.003716493,0.371649263,0.172247485
,,0,0,0,
529,0.172247485,23.2534105,0.003744228,0.374422765,0.172247485
,,0,0,0,
541,0.172247485,23.42565799,0.003771963,0.377196267,0.172247485
,,0,0,0,
554,0.172247485,23.59790547,0.003799698,0.379969769,0.172247485
,,0,0,0,
578,0.172247485,23.77015296,0.003827433,0.382743271,0.172247485
,,0,0,0,
582,0.172247485,23.94240044,0.003855168,0.385516773,0.172247485
,,0,0,0,
647,0.172247485,24.11464793,0.003882903,0.388290275,0.172247485
,,0,0,0,
703,0.172247485,24.28689541,0.003910638,0.391063777,0.172247485
,,0,0,0,
726,0.172247485,24.4591429,0.003938373,0.393837279,0.172247485
,,0,0,0,
732,0.172247485,24.63139038,0.003966108,0.396610781,0.172247485
,,0,0,0,
745,0.172247485,24.80363787,0.003993843,0.399384283,0.172247485
,,0,0,0,
761,0.172247485,24.97588535,0.004021578,0.402157785,0.172247485
,,0,0,0,
771,0.172247485,25.14813284,0.004049313,0.404931286,0.172247485
,,0,0,0,
777,0.172247485,25.32038032,0.004077048,0.407704788,0.172247485
,,0,0,0,
778,0.172247485,25.49262781,0.004104783,0.41047829,0.172247485
,,0,0,0,
780,0.172247485,25.66487529,0.004132518,0.413251792,0.172247485
,,0,0,0,
787,0.172247485,25.83712278,0.004160253,0.416025294,0.172247485
,,0,0,0,
825,0.172247485,26.00937026,0.004187988,0.418798796,0.172247485
,,0,0,0,
840,0.172247485,26.18161775,0.004215723,0.421572298,0.172247485
,,0,0,0,
842,0.172247485,26.35386523,0.004243458,0.4243458,0.172247485
,,0,0,0,
853,0.172247485,26.52611272,0.004271193,0.427119302,0.172247485
,,0,0,0,
886,0.172247485,26.6983602,0.004298928,0.429892804,0.172247485
,,0,0,0,
890,0.172247485,26.87060769,0.004326663,0.432666306,0.172247485
,,0,0,0,
897,0.172247485,27.04285517,0.004354398,0.435439808,0.172247485
,,0,0,0,
900,0.172247485,27.21510266,0.004382133,0.43821331,0.172247485
,,0,0,0,
913,0.172247485,27.38735014,0.004409868,0.440986812,0.172247485
,,0,0,0,
944,0.172247485,27.55959763,0.004437603,0.443760314,0.172247485
,,0,0,0,
964,0.172247485,27.73184512,0.004465338,0.446533816,0.172247485
,,0,0,0,
995,0.172247485,27.9040926,0.004493073,0.449307318,0.172247485
,,0,0,0,
1030,0.172247485,28.07634009,0.004520808,0.45208082,0.172247485
,,0,0,0,
1032,0.172247485,28.24858757,0.004548543,0.454854322,0.172247485
,,0,0,0,
1058,0.172247485,28.42083506,0.004576278,0.457627824,0.172247485
,,0,0,0,
1060,0.172247485,28.59308254,0.004604013,0.460401326,0.172247485
,,0,0,0,
1062,0.172247485,28.76533003,0.004631748,0.463174828,0.172247485
,,0,0,0,
1067,0.172247485,28.93757751,0.004659483,0.46594833,0.172247485
,,0,0,0,
1071,0.172247485,29.109825,0.004687218,0.468721832,0.172247485
,,0,0,0,
1091,0.172247485,29.28207248,0.004714953,0.471495334,0.172247485
,,0,0,0,
1115,0.172247485,29.45431997,0.004742688,0.474268836,0.172247485
,,0,0,0,
1117,0.172247485,29.62656745,0.004770423,0.477042338,0.172247485
,,0,0,0,
1121,0.172247485,29.79881494,0.004798158,0.479815839,0.172247485
,,0,0,0,
1131,0.172247485,29.97106242,0.004825893,0.482589341,0.172247485
,,0,0,0,
1176,0.172247485,30.14330991,0.004853628,0.485362843,0.172247485
,,0,0,0,
1213,0.172247485,30.31555739,0.004881363,0.488136345,0.172247485
,,0,0,0,
1220,0.172247485,30.48780488,0.004909098,0.490909847,0.172247485
,,0,0,0,
1230,0.172247485,30.66005236,0.004936833,0.493683349,0.172247485
,,0,0,0,
116,0.215309356,30.87536172,0.004971502,0.497150227,0.215309356
,,0,0,0,
139,0.215309356,31.09067108,0.005006171,0.500617104,0.215309356
,,0,0,0,
200,0.215309356,31.30598043,0.00504084,0.504083982,0.215309356
,,0,0,0,
248,0.215309356,31.52128979,0.005075509,0.507550859,0.215309356
,,0,0,0,
297,0.215309356,31.73659915,0.005110177,0.511017737,0.215309356
,,0,0,0,
311,0.215309356,31.9519085,0.005144846,0.514484614,0.215309356
,,0,0,0,
371,0.215309356,32.16721786,0.005179515,0.517951491,0.215309356
,,0,0,0,
386,0.215309356,32.38252722,0.005214184,0.521418369,0.215309356
,,0,0,0,
392,0.215309356,32.59783657,0.005248852,0.524885246,0.215309356
,,0,0,0,
412,0.215309356,32.81314593,0.005283521,0.528352124,0.215309356
,,0,0,0,
417,0.215309356,33.02845528,0.00531819,0.531819001,0.215309356
,,0,0,0,
480,0.215309356,33.24376464,0.005352859,0.535285879,0.215309356
,,0,0,0,
514,0.215309356,33.459074,0.005387528,0.538752756,0.215309356
,,0,0,0,
527,0.215309356,33.67438335,0.005422196,0.542219634,0.215309356
,,0,0,0,
534,0.215309356,33.88969271,0.005456865,0.545686511,0.215309356
,,0,0,0,
577,0.215309356,34.10500207,0.005491534,0.549153389,0.215309356
,,0,0,0,
641,0.215309356,34.32031142,0.005526203,0.552620266,0.215309356
,,0,0,0,
642,0.215309356,34.53562078,0.005560871,0.556087143,0.215309356
,,0,0,0,
653,0.215309356,34.75093014,0.00559554,0.559554021,0.215309356
,,0,0,0,
655,0.215309356,34.96623949,0.005630209,0.563020898,0.215309356
,,0,0,0,
711,0.215309356,35.18154885,0.005664878,0.566487776,0.215309356
,,0,0,0,
713,0.215309356,35.39685821,0.005699547,0.569954653,0.215309356
,,0,0,0,
722,0.215309356,35.61216756,0.005734215,0.573421531,0.215309356
,,0,0,0,
754,0.215309356,35.82747692,0.005768884,0.576888408,0.215309356
,,0,0,0,
762,0.215309356,36.04278628,0.005803553,0.580355286,0.215309356
,,0,0,0,
767,0.215309356,36.25809563,0.005838222,0.583822163,0.215309356
,,0,0,0,
775,0.215309356,36.47340499,0.00587289,0.587289041,0.215309356
,,0,0,0,
783,0.215309356,36.68871434,0.005907559,0.590755918,0.215309356
,,0,0,0,
797,0.215309356,36.9040237,0.005942228,0.594222795,0.215309356
,,0,0,0,
807,0.215309356,37.11933306,0.005976897,0.597689673,0.215309356
,,0,0,0,
822,0.215309356,37.33464241,0.006011566,0.60115655,0.215309356
,,0,0,0,
869,0.215309356,37.54995177,0.006046234,0.604623428,0.215309356
,,0,0,0,
885,0.215309356,37.76526113,0.006080903,0.608090305,0.215309356
,,0,0,0,
899,0.215309356,37.98057048,0.006115572,0.611557183,0.215309356
,,0,0,0,
906,0.215309356,38.19587984,0.006150241,0.61502406,0.215309356
,,0,0,0,
933,0.215309356,38.4111892,0.006184909,0.618490938,0.215309356
,,0,0,0,
947,0.215309356,38.62649855,0.006219578,0.621957815,0.215309356
,,0,0,0,
960,0.215309356,38.84180791,0.006254247,0.625424692,0.215309356
,,0,0,0,
965,0.215309356,39.05711727,0.006288916,0.62889157,0.215309356
,,0,0,0,
966,0.215309356,39.27242662,0.006323584,0.632358447,0.215309356
,,0,0,0,
972,0.215309356,39.48773598,0.006358253,0.635825325,0.215309356
,,0,0,0,
975,0.215309356,39.70304534,0.006392922,0.639292202,0.215309356
,,0,0,0,
1003,0.215309356,39.91835469,0.006427591,0.64275908,0.215309356
,,0,0,0,
1105,0.215309356,40.13366405,0.00646226,0.646225957,0.215309356
,,0,0,0,
1116,0.215309356,40.3489734,0.006496928,0.649692835,0.215309356
,,0,0,0,
1128,0.215309356,40.56428276,0.006531597,0.653159712,0.215309356
,,0,0,0,
1181,0.215309356,40.77959212,0.006566266,0.65662659,0.215309356
,,0,0,0,
1246,0.215309356,40.99490147,0.006600935,0.660093467,0.215309356
,,0,0,0,
70,0.258371228,41.2532727,0.006642537,0.66425372,0.258371228
,,0,0,0,
82,0.258371228,41.51164393,0.00668414,0.668413973,0.258371228
,,0,0,0,
108,0.258371228,41.77001516,0.006725742,0.672574226,0.258371228
,,0,0,0,
118,0.258371228,42.02838639,0.006767345,0.676734479,0.258371228
,,0,0,0,
137,0.258371228,42.28675761,0.006808947,0.680894732,0.258371228
,,0,0,0,
158,0.258371228,42.54512884,0.00685055,0.685054985,0.258371228
,,0,0,0,
159,0.258371228,42.80350007,0.006892152,0.689215238,0.258371228
,,0,0,0,
173,0.258371228,43.0618713,0.006933755,0.693375491,0.258371228
,,0,0,0,
192,0.258371228,43.32024252,0.006975357,0.697535744,0.258371228
,,0,0,0,
231,0.258371228,43.57861375,0.00701696,0.701695996,0.258371228
,,0,0,0,
